No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,WISEA J000547.87+861232.6,1.45126,86.20942,G,11779,0.039289,PHOT,16.78,0,4,0,31,5,1,2,0
2,UGC 00115,2.64995,88.33477,G,1983,0.006615,    ,16.5,0,12,1,18,7,2,3,0
3,WISEA J001100.05+862919.7,2.74983,86.48883,G,14538,0.048495,PHOT,     ,0,1,0,27,4,1,2,0
4,WISEA J002755.22+860534.6,6.9816,86.09307,G,10563,0.035235,PHOT,16.75,0,2,0,27,4,1,2,0
5,WISEA J002822.92+860609.1,7.09792,86.10253,G,19285,0.064328,PHOT,     ,0,1,0,31,5,1,2,0
6,MCG +14-01-007,7.80187,86.01042,G,9252,0.030862,PHOT,17,0,4,0,35,6,1,3,0
7,WISEA J003714.16+863401.3,9.31183,86.56709,G,11533,0.038469,PHOT,16.4,0,2,0,31,5,1,2,0
8,WISEA J003821.78+875030.0,9.59083,87.84161,G,19929,0.066476,    ,11.1K,0,3,0,32,5,3,2,0
9,WISEA J004231.81+860754.8,10.63447,86.13197,G,13665,0.045581,PHOT,16.62,0,2,0,31,5,1,2,0
10,WISEA J005141.19+875823.1,12.92075,87.97317,G,18943,0.063188,PHOT,     ,0,1,0,27,4,1,2,0
11,WISEA J005500.57+881624.8,13.75296,88.27353,G,17660,0.058908,PHOT,     ,0,1,0,27,4,1,2,0
12,WISEA J005559.98+872915.0,14.00021,87.48742,G,14341,0.047835,PHOT,     ,0,1,0,31,5,1,2,0
13,WISEA J005929.50+873228.3,14.87196,87.54114,G,20206,0.067401,PHOT,     ,0,1,0,38,7,1,2,0
14,WISEA J010226.04+872742.4,15.60833,87.46179,G,21217,0.070772,PHOT,18.15,0,2,0,31,5,1,2,0
15,WISEA J010443.62+891829.5,16.18379,89.30822,G,12745,0.042514,PHOT,     ,0,1,0,27,4,1,2,0
16,WISEA J010803.72+871401.6,17.01454,87.23378,G,18790,0.062676,PHOT,     ,0,1,0,27,4,1,2,0
